NAME,STAR,PER,MASS,SEP,R,PLANETDISCMETH,MSTAR,RSTAR,TEFF,DATE
KOI 3528.01,KOI 3528,165.40575209,1,,10.209670508623605,,0.999,2.185,6061,
KOI 3531.01,KOI 3531,70.582861334,1,,4.53743308343758,,0.98,0.904,5973,
KOI 1899.02,KOI 1899,10.5225498,0.0026192733102255836,,0.08475346891989187,,1.064,1.175,6327,
KOI 3611.01,KOI 3611,10.44334043,1,,12.977986446080704,,0.972,1.005,6137,
KOI 3384.02,KOI 3384,19.9157725,0.010551076838668526,,0.12668413249078572,,1.074,1.09,6053,
KOI 3385.01,KOI 3385,54.061326157,1,,8.108676621188392,,0.937,1.112,5786,
KOI 3386.01,KOI 3386,34.525999972,1,,3.22687681140262,,1,1.038,6122,
KOI 3455.01,KOI 3455,14.0546718,0.011878609310077826,,0.13917411738424348,,0.977,0.88,5783,
KOI 3456.01,KOI 3456,30.8609366,0.0048478132389415856,,0.1008120209257661,,0.972,1.062,6008,
KOI 332.02,KOI 332,6.8667851,0.0014871817801833484,,0.07226348402643412,,1.126,1.259,5716,
KOI 3620.01,KOI 3620,46.698195279,1,,3.2598860571924724,,0.687,0.756,5772,
KOI 3389.01,KOI 3389,29.7682825,0.009364181658773018,,0.12222342360026513,,0.997,0.941,6022,
KOI 3391.01,KOI 3391,36.7660458,0.010799121778904323,,0.12757627426888987,,0.531,0.54,4342,
KOI 3458.01,KOI 3458,14.0329154,0.011564804514926986,,0.13025269960320224,,1.079,1.001,6063,
KOI 3459.01,KOI 3459,13.2226208,0.01182725005742083,,0.13114484138130636,,0.95,0.861,5933,
KOI 1750.02,KOI 1750,2.53742112,0.0024278187365781505,,0.08296918536368363,,0.906,0.92,5798,
