NAME,STAR,PER,MASS,SEP,R,PLANETDISCMETH,MSTAR,RSTAR,TEFF,DATE,DENSITY,LUMINOSITY,MISSION
Kepler-340 c,Kepler-340,22.824669,0.0341953,0.157474,0.300651,Transit,N/A,1.85,6620,2014,1.2582898425668443,5.889310242692722,Kepler
HD 40307 c,HD 40307,9.62,0.0211468,0.0800702,N/A,RV,0.74,0.839223,4977,2009,N/A,0.3871812673179162,HD
HD 142 b,HD 142,350.3,1.3057,1.04292,N/A,RV,1.232,1.5121,6248.6,2002,N/A,3.1230644247952823,HD
Kepler-257 b,Kepler-257,2.382667,0.0210192,0.0349126,0.232849,Transit,N/A,1.037,5180,2014,1.664927328011216,0.6936902178565525,Kepler
WASP-10 b,WASP-10,3.0927616,3.19144,0.0384536,1.08,Transit,0.79,0.698,4675,2009,2.5334809801413254,0.2085097293775188,WASP
GJ 328 b,GJ 328,4100,2.3,4.43476,N/A,RV,0.69,N/A,3900,2013,N/A,N/A,GJ
WASP-17 b,WASP-17,3.735433,0.508547,0.0499354,1.932,Transit,1.19,1.2,6550,2010,0.07051994438778485,2.374743516263297,WASP
HAT-P-17 b,HAT-P-17,10.338523,0.530158,0.0882385,1.01,Transit,0.857,0.837,5246,2012,0.5145687746533726,0.47539332503890536,HAT
Kepler-162 b,Kepler-162,6.919798,0.00656354,0.0710671,0.11241,Transit,N/A,0.958,5816,2014,4.620888864328456,0.9408440183015896,Kepler
HD 67087 b,HD 67087,352.2,3.09805,1.08217,N/A,RV,1.36,1.55,6330,2015,N/A,3.4559484433304553,HD
Kepler-293 c,Kepler-293,54.155743,0.0463015,0.280136,0.34169,Transit,N/A,0.957,5804,2014,1.160647887074778,0.9311561353304089,Kepler
HD 102329 b,HD 102329,778.1,4.47808,1.80892,N/A,RV,1.3,7.27206,4745,2011,N/A,24.018661000489836,HD
HD 159868 b,HD 159868,1178.4,2.20004,2.29553,N/A,RV,1.16,1.84825,5558,2007,N/A,2.920684312785944,HD
Kepler-424 b,Kepler-424,3.3118644,0.770225,0.0436419,0.89,Transit,1.01,0.94,5460,2014,1.092571384231113,0.7035829337106331,Kepler
Kepler-262 c,Kepler-262,21.853722,0.0121773,0.152976,0.146311,Transit,N/A,0.881,5841,2014,3.8879645845946245,0.8094493158219637,Kepler
WASP-117 b,WASP-117,10.02165,0.2755,0.0946483,1.021,Transit,1.126,1.17,6040,2014,0.25884906919429707,1.6323320073572338,WASP
WASP-75 b,WASP-75,2.484193,1.07,0.0375112,1.27,Transit,1.14,1.26,6100,2013,0.5223659325082344,1.969470358344235,WASP
Kepler-222 b,Kepler-222,3.936981,0.0297967,0.0487958,0.281916,Transit,N/A,0.869,5433,2014,1.3298762340296284,0.589504862319122,Kepler
Kepler-334 b,Kepler-334,5.470319,0.00436179,0.0607596,0.0999197,Transit,N/A,1.068,5828,2014,4.372336907728829,1.178988845744431,Kepler
HD 114783 b,HD 114783,493.7,1.10505,1.15987,N/A,RV,0.853,0.837785,5135.09,2002,N/A,0.43726671293156943,HD
GJ 581 e,GJ 581,3.14945,0.00613456,0.028459,N/A,RV,0.31,0.299,3498,2009,N/A,0.01199252453808169,GJ
Kepler-327 c,Kepler-327,5.212333,0.00324127,0.0588339,0.0918904,Transit,N/A,0.492,3799,2014,4.177409155210471,0.04517481662023964,Kepler
Kepler-419 b,Kepler-419,69.7546,2.5,0.370106,N/A,Transit,1.39,1.75,6430,2010,N/A,4.690390565397307,Kepler
epsilon Ret b,epsilon Ret,428.1,1.37669,1.19471,N/A,RV,1.24,3.51559,4781,2001,N/A,5.785760261057433
